ip,port,protocol
139.255.64.10,54855,https
80.65.77.98,39674,https
42.201.183.33,8080,https
189.1.162.92,8080,https
171.244.166.34,8080,https
77.232.186.2,8080,https
176.113.126.127,43788,https
128.201.161.2,999,https
95.134.195.78,56398,https
92.51.42.1,8080,https
89.169.16.4,53281,https
109.206.140.215,8080,https
182.48.72.146,8080,https
176.10.43.195,30969,https
92.255.188.159,53281,https
36.66.198.206,3128,https
62.173.145.48,3128,https
87.124.164.34,31668,https
202.136.94.13,8080,https
203.150.158.61,8080,https
81.30.27.54,9999,https
185.146.112.24,8080,https
49.48.140.59,8080,https
185.12.228.110,3128,https
80.211.91.251,8080,https
36.66.19.10,8080,https
203.123.255.142,30373,https
154.126.33.59,8080,https
95.46.6.136,8081,https
125.209.94.182,45304,https
83.239.97.26,45751,https
36.90.5.187,80,https
186.193.229.38,8080,https
84.52.83.70,52177,https
86.57.181.122,31766,https
14.207.33.226,8080,https
192.184.38.53,3128,https
35.246.135.126,8080,https
103.95.98.179,8080,https
180.183.115.226,8080,https
95.66.142.18,50334,https
221.5.80.66,3128,https
103.210.28.70,8080,https
195.82.116.230,8080,https
95.131.91.130,53540,https
31.193.124.70,53281,https
67.60.137.219,35979,https
89.23.194.174,8080,https
5.16.10.226,8080,https
117.196.235.30,8080,https
176.120.37.82,59365,https
124.41.211.139,39509,https
103.255.148.26,36831,https
36.66.171.155,8080,https
